2014-08-31 13:31:10,911 [] INFO  rpc - [logid: 1409640199094] [request: {WMSCrawlerWebsite(website:tianshan, websiteType:WMS_WEBSITE_ZH_CN, crawlerType:WMS_WEBSITE_CRAWLER_STAND_ALONE, urlType:WMS_WEBSITE_URL_RULE_HIT, urlRule:{"con_page_expression":"content_(\\d)+.htm$","host_expression":"[a-z]*\\.ts\\.cn","nav_page_expression":"navigation_url_exp"}, contentType:WMS_WEBSITE_CONTENT_RULE_TEMPLATE_HPATH, contentRule:{"content_expression":"<div class=\"txt link05\"> <p/> <div is_filter='yes'/></div>","time_expression":"<div class=\"info link16\"><span is_filter='yes'/></div>","title_expression":"<div class=\"title\" />"}, seeds:[http://www.ts.cn/], crawlerNum:1000, crawlerSchedule:0)}][respose: {success_amount: 1}]
2014-08-31 13:42:00,675 [] INFO  rpc - 
2014-08-31 13:42:10,806 [] INFO  rpc - 
2014-08-31 13:42:20,875 [] INFO  rpc - 
2014-08-31 13:54:53,737 [] INFO  rpc - 
2014-08-31 13:55:05,212 [] INFO  rpc - 
2014-08-31 13:55:15,257 [] INFO  rpc - 
2014-08-31 13:55:25,294 [] INFO  rpc - 
2014-08-31 13:58:19,108 [] INFO  rpc - 
2014-08-31 13:58:39,095 [] INFO  rpc - 
2014-08-31 14:00:34,580 [] INFO  rpc - 
2014-08-31 14:00:44,702 [] INFO  rpc - 
2014-08-31 14:00:54,969 [] INFO  rpc - 
2014-08-31 14:01:35,674 [] INFO  rpc - 
2014-08-31 14:07:06,800 [] INFO  rpc - 
2014-08-31 14:07:16,976 [] INFO  rpc - 
2014-08-31 14:07:27,141 [] INFO  rpc - 
2014-08-31 14:07:37,234 [] INFO  rpc - 
2014-08-31 14:07:47,636 [] INFO  rpc - 
2014-08-31 14:07:57,696 [] INFO  rpc - 
2014-08-31 14:08:07,762 [] INFO  rpc - 
2014-08-31 14:08:17,822 [] INFO  rpc - 
2014-08-31 14:08:27,873 [] INFO  rpc - 
2014-08-31 14:08:37,914 [] INFO  rpc - 
2014-08-31 14:08:48,017 [] INFO  rpc - 
2014-08-31 14:08:58,058 [] INFO  rpc - 
2014-08-31 14:09:08,129 [] INFO  rpc - 
2014-08-31 14:09:18,225 [] INFO  rpc - 
2014-08-31 14:09:28,310 [] INFO  rpc - 
2014-08-31 14:09:38,357 [] INFO  rpc - 
2014-08-31 14:17:56,134 [] INFO  rpc - 
2014-08-31 14:18:06,482 [] INFO  rpc - 
2014-08-31 14:18:16,588 [] INFO  rpc - 
2014-08-31 14:18:26,684 [] INFO  rpc - 
